YIELD_1,YIELD_2,YIELD_3,YIELD_4
6.061152,4.607517,8.424629,1.2683306
4.990147,6.0169477,9.166878,2.3427851
5.0822783,5.020963,8.904853,2.0124786
4.370706,4.3709464,9.887046,1.3394063
5.271957,6.109171,7.361166,2.1175158
7.939983,9.640767,13.746891,6.7818055
6.2872334,10.244222,11.0217285,4.417949
4.389621,4.6814814,8.96444,6.0782185
4.2267523,5.7901845,8.43106,1.5688076
5.3127513,5.5084825,10.218419,6.232022
4.747199,6.3916793,9.150045,6.4993396
5.176979,4.9364448,10.994113,0.1798434
5.4500217,7.53123,7.9435225,4.45026
4.4560714,6.395901,10.605475,2.034528
4.2840414,5.7273784,10.718994,4.3217897
5.4101777,5.3470135,6.118296,3.657737
5.033869,6.135399,6.2868557,1.5141093
5.1168156,8.800618,11.879204,3.890076
7.433966,10.037817,13.610176,3.8754816
4.268439,9.585655,7.983566,6.1661468
6.226042,6.925434,12.330964,0.8636582
6.114844,7.7565413,12.217851,2.2854977
9.575883,5.2805257,10.669535,1.680787
6.5284967,5.559974,10.340977,2.7079287
5.7495522,8.863811,13.015277,2.7940156
6.1900716,5.6395693,6.034494,1.1337435
5.903646,7.063439,9.317272,4.7511816
5.108662,4.937749,11.095554,0.31516975
7.922408,6.895542,9.375679,1.9267689
5.6319766,7.958466,8.557228,9.160255
4.6824064,5.6492147,8.505242,2.4912775
6.573127,7.1322618,5.2475557,3.1524053
4.3310094,8.616314,9.618611,3.625573
3.9251294,7.853485,8.576953,2.355924
5.501278,5.2859125,11.021573,0.6359914
2.645811,4.947122,5.2419367,6.063957
3.9530828,4.2138586,9.530315,1.5659189
4.904496,7.0690603,9.772631,4.230799
5.0103593,5.130908,8.034818,2.175792
4.980628,6.3847895,8.052004,1.2089009
5.651899,5.719514,6.532784,2.9347794
7.072424,5.245911,7.185839,2.9015906
5.109896,6.186237,10.179373,4.242038
5.181193,6.15483,8.166384,3.568146
4.792891,8.58989,8.891536,4.260763
4.078516,6.856684,9.31493,2.567623
4.204835,8.371203,9.469893,3.846698
5.1167655,6.3147664,11.320293,4.1757636
5.2685566,4.1196847,10.573485,0.99228597
4.475384,6.4395676,12.480364,2.084625
4.941173,4.497208,9.553175,6.5504613
4.8299737,6.508137,10.245258,2.8024795
6.801851,5.371186,7.041572,1.5609057
5.8483114,5.5741353,7.4027596,3.4053662
4.2414217,4.5279846,9.473514,0.7721715
5.206769,7.992249,8.32875,3.0145319
3.2820938,8.314863,10.206468,4.220523
4.583696,5.6214414,6.1593566,3.3028712
5.0308495,5.4265327,9.047041,4.3895135
4.4701777,6.5881376,11.140645,1.9501786
4.5146894,7.468564,9.592201,4.2007647
7.062846,5.570325,9.665624,1.4552184
5.7284036,8.0549755,9.7145405,2.493452
5.1988072,7.0392227,7.2576423,2.0717523
6.301317,6.017461,10.861899,1.2582202
5.167075,8.389792,8.39453,2.7170527
4.898743,6.110974,9.319928,0.9404603
4.9717298,7.7041845,11.709665,2.5410328
4.9203753,4.7190833,7.4772286,3.437788
5.4639454,4.7382526,8.694538,1.8780332
5.806411,6.0652204,10.297627,1.453224
5.2348127,6.1275826,11.294543,7.5204763
4.086837,4.4286585,12.165488,0.75787294
7.360755,8.25253,8.788692,2.5946438
6.478266,6.636947,10.688995,4.855608
6.0947065,5.079043,6.9674125,2.773659
5.7330327,6.5830426,6.9970512,1.7213604
4.8372164,5.29542,9.808282,2.46871
4.689068,4.9254136,6.3603754,5.2185197
3.0009336,5.5705414,8.725367,5.874526
6.9569416,6.206914,10.26292,1.9308536
4.1432467,5.8090897,8.809293,4.8274965
2.8449447,6.058752,9.913882,5.4132357
8.21197,10.521474,12.78365,8.171698
5.6216683,7.1717105,9.2700815,2.6684682
4.534861,6.099514,10.837906,1.975597
5.091843,5.019428,13.115379,0.85097337
11.702713,8.912958,13.404483,12.720753
4.9686937,7.6768513,10.293823,2.7167525
5.0131774,4.458637,10.778344,0.0
5.5052648,5.1957154,11.817254,0.59052914
9.855004,5.907518,7.7069135,1.1957351
3.3424067,5.092494,6.1855946,4.177335
4.6425567,5.1087294,7.071943,1.2946572
6.54513,7.005771,7.811685,4.923503
6.9604864,5.538216,8.745104,1.7345157
4.9265537,5.8650007,7.859035,3.3013475
5.567467,7.735382,10.114892,3.4849834
9.320347,5.0857058,8.946315,5.032227
3.143272,6.11514,6.5339828,4.742871
4.232413,4.572697,8.740814,1.394564
6.0960455,9.429574,12.216048,10.045568
4.183656,4.5160503,10.883774,2.1241047
4.8341436,5.062271,10.413656,1.0427691
6.2044296,5.331766,10.226503,1.1163727
6.399108,5.8116674,11.986009,0.0
4.4116507,7.044789,10.030735,5.3926773
4.7374024,7.7122474,7.468538,3.3184834
4.071814,5.014748,7.8262734,6.6581035
4.5674605,7.811478,10.097433,1.8963592
4.910629,5.8459644,10.818536,3.16489
5.929226,7.1278033,8.111967,2.9143734
5.4004245,5.9470077,7.8700013,2.6489575
4.0265884,5.2453623,10.20818,1.0301421
8.814782,6.444128,11.747162,0.9863708
5.3131285,7.8667407,13.2390995,4.4104867
3.6115408,7.332107,10.766543,2.4153285
6.040209,5.937219,8.227349,4.8134265
4.7097483,3.8719816,7.785183,4.9787927
6.151376,4.8893533,11.030621,1.2290933
8.008181,5.8820047,11.1530075,1.0342709
3.5854561,5.907087,8.428586,6.97033
6.311627,5.1594825,8.548493,3.3865678
6.772477,5.561737,10.597312,1.1810654
4.375364,5.3879395,8.179935,2.0855842
5.5350804,8.655204,9.740016,9.127802
4.8758416,6.7846575,9.413418,1.694565
5.2823253,5.921412,8.900614,2.0697253
5.291127,5.413249,7.1965404,2.8560438
3.772576,7.220729,8.039051,1.9473608
5.7704988,5.5076566,11.339155,0.0
4.7657824,5.604924,6.911835,1.0443527
7.2193737,6.8733163,13.494088,1.9932656
3.5424824,4.6051407,7.516275,3.9698284
4.513721,6.4791365,7.7186036,4.828106
5.018322,8.000668,8.458881,2.976497
4.369691,4.6332664,10.844167,1.9945784
5.471453,6.074523,7.6972446,2.253637
6.0159945,8.585327,6.4626026,2.2292674
5.994072,9.112892,8.728487,3.7273703
4.8414383,5.4058723,10.984085,0.4593308
6.7441554,4.8269486,11.351646,0.0
6.0286326,8.308599,8.819775,5.11745
4.175159,5.9095526,7.97315,4.890965
6.1736364,6.2151437,8.350808,1.8528538
5.955498,4.698518,7.9432473,5.1559353
5.223811,4.949082,6.7721386,7.704834
4.4845343,5.5306406,8.363591,1.4776617
5.8068566,7.2139297,9.235585,2.3157668
4.385667,4.5887594,8.535614,6.60237
3.982247,6.149981,8.550857,6.5988116
7.3941717,6.266285,11.881769,6.1909714
5.345471,7.331256,10.786397,3.9903586
5.079556,6.0072136,10.070157,0.23198247
8.56933,7.3732085,12.733934,6.618831
4.5080667,7.781881,8.808748,2.7128367
5.459547,5.819812,11.420474,0.9216776
4.367863,6.117355,10.741043,1.6270834
4.5060782,5.374753,9.993024,1.3343594
7.8760414,8.250923,12.086325,4.7349634
5.7097178,4.75854,7.3705134,1.3191907
5.687248,7.496003,7.9248185,4.694835
5.0416627,6.6624303,9.380706,2.1129816
4.3237953,6.0971355,10.816734,1.8440244
5.038339,8.224827,7.026686,2.8868887
4.9077067,5.246648,7.3253655,1.6463547
5.2595477,6.3713675,8.504418,7.119181
5.5503573,8.475751,11.0727415,3.8506918
4.35199,4.93252,10.481478,2.6407974
4.608881,7.6913195,13.497435,4.7230134
4.561198,6.150874,10.78782,1.5250335
4.9540386,5.1165686,7.00701,1.5525845
5.5252132,4.9680367,9.8081455,5.4521923
5.0565853,8.145176,9.915053,3.1997721
4.7531705,5.177497,8.036161,2.3161266
3.5536604,6.5193987,11.409227,3.2557383
5.097964,6.678686,8.410193,2.2767012
5.7635465,5.8654118,7.7226195,2.6049466
5.188734,7.3030524,6.3010955,5.590551
6.8564844,8.612276,11.790002,3.2617073
4.9646463,6.778239,8.529593,5.9228888
4.719093,6.608181,6.91963,2.371527
4.667832,5.1628394,12.088554,0.43510467
4.927332,7.4732265,10.763268,2.0049396
4.151101,5.5417094,7.281029,2.4640696
10.589149,8.155756,10.798317,5.557058
8.315043,6.660784,11.027993,3.9545643
