,YEAR,YIELD_1,YIELD_2,YIELD_3,YIELD_4
0,2048,5.54,6.61,10.39,5.77
1,1,4.39,6.86,8.49,8.65
2,2,4.07,6.04,6.12,6.34
3,8193,4.77,6.08,10.6,3.93
4,4096,4.4,3.51,8.6,5.58
5,6149,4.13,4.81,9.58,0.76
6,8200,6.43,4.84,9.32,8.65
7,10,4.83,5.8,10.33,3.27
8,4109,4.48,5.96,9.49,4.0
9,8206,5.36,4.16,5.52,2.83
10,2062,4.71,3.05,6.08,0.92
11,2064,5.96,8.03,9.28,6.56
12,6161,6.7,5.42,11.35,2.55
13,8212,4.26,8.73,11.21,2.69
14,8215,5.87,5.68,11.46,2.96
15,6167,3.63,3.21,11.12,1.74
16,8217,3.86,7.15,11.33,2.28
17,8218,5.09,3.33,10.38,3.88
18,28,5.8,10.23,8.52,3.93
19,6175,4.93,9.12,9.96,6.17
20,33,3.63,4.4,8.52,3.06
21,35,5.88,6.31,9.63,1.35
22,2084,3.75,5.42,7.0,5.86
23,4133,4.68,4.4,8.86,5.73
24,39,5.86,6.2,9.99,0.0
25,6186,4.18,8.41,7.26,7.0
26,46,4.02,3.77,9.72,0.18
27,6194,4.14,5.57,9.56,1.07
28,6197,4.17,6.28,10.62,2.32
29,8249,3.48,3.51,9.62,1.36
30,4153,5.69,7.01,8.98,5.82
31,6201,3.99,5.85,9.89,2.14
32,8255,3.93,4.36,9.68,0.43
33,2113,6.23,7.09,9.78,4.15
34,4166,6.67,7.68,9.63,1.12
35,2119,3.61,5.33,11.79,2.48
36,72,5.47,7.64,11.08,2.44
37,8267,5.59,6.79,9.09,3.77
38,6219,5.25,4.26,8.14,0.5
39,6220,4.63,5.07,10.09,3.48
40,78,7.55,6.84,11.53,2.02
41,8272,4.21,4.67,10.6,3.57
42,88,7.64,6.78,6.65,3.15
43,6235,6.43,4.99,7.92,0.74
44,92,6.93,4.87,10.69,2.16
45,2141,4.14,8.16,12.46,3.42
46,2142,5.56,7.63,11.59,4.43
